
 Shear/q and Bending Moment/q vs Y
  Configuration: Wing                                                        
  Mach  =    0.799
  alpha =    0.145    CLtot =    0.521
  beta  =    0.000

  Sref  =   252.63699
  Bref  =    44.57280
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =   0.
     2Ymax/Bref =   1.
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.258588         0.530951E-01
    0.0339  0.245921         0.488223E-01
    0.1016  0.220835         0.409161E-01
    0.1694  0.196430         0.338482E-01
    0.2371  0.173031         0.275901E-01
    0.3049  0.150907         0.221030E-01
    0.3726  0.130320         0.173394E-01
    0.4436  0.110457         0.130675E-01
    0.5178  0.910262E-01     0.933077E-02
    0.5920  0.725945E-01     0.629625E-02
    0.6662  0.553073E-01     0.392417E-02
    0.7404  0.393376E-01     0.216888E-02
    0.8145  0.248942E-01     0.977636E-03
    0.8887  0.122872E-01     0.288069E-03
    0.9629  0.216364E-02     0.200635E-04
    1.0000   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =  -1.
     2Ymax/Bref =   0.
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.258588        -0.530951E-01
   -0.0339  0.245921        -0.488223E-01
   -0.1016  0.220835        -0.409161E-01
   -0.1694  0.196430        -0.338482E-01
   -0.2371  0.173031        -0.275901E-01
   -0.3049  0.150907        -0.221030E-01
   -0.3726  0.130320        -0.173394E-01
   -0.4436  0.110457        -0.130675E-01
   -0.5178  0.910262E-01    -0.933077E-02
   -0.5920  0.725945E-01    -0.629625E-02
   -0.6662  0.553073E-01    -0.392417E-02
   -0.7404  0.393376E-01    -0.216888E-02
   -0.8145  0.248942E-01    -0.977636E-03
   -0.8887  0.122872E-01    -0.288069E-03
   -0.9629  0.216364E-02    -0.200635E-04
   -1.0000   0.00000          0.00000    
