
 Shear/q and Bending Moment/q vs Y
  Configuration: Wing                                                        
  Mach  =    0.799
  alpha =    0.066    CLtot =    0.510
  beta  =    0.000

  Sref  =   260.17899
  Bref  =    45.10720
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =   0.
     2Ymax/Bref =   1.
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.252855         0.518940E-01
    0.0335  0.240583         0.477645E-01
    0.1004  0.216278         0.401176E-01
    0.1674  0.192627         0.332734E-01
    0.2343  0.169950         0.272046E-01
    0.3013  0.148508         0.218743E-01
    0.3682  0.128565         0.172367E-01
    0.4391  0.109140         0.130252E-01
    0.5139  0.899644E-01     0.930263E-02
    0.5887  0.717674E-01     0.627880E-02
    0.6635  0.546938E-01     0.391441E-02
    0.7382  0.389158E-01     0.216423E-02
    0.8130  0.246399E-01     0.975954E-03
    0.8878  0.121710E-01     0.287716E-03
    0.9626  0.214517E-02     0.200536E-04
    1.0000   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =  -1.
     2Ymax/Bref =   0.
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.252855        -0.518940E-01
   -0.0335  0.240583        -0.477645E-01
   -0.1004  0.216278        -0.401176E-01
   -0.1674  0.192627        -0.332734E-01
   -0.2343  0.169950        -0.272046E-01
   -0.3013  0.148508        -0.218743E-01
   -0.3682  0.128565        -0.172367E-01
   -0.4391  0.109140        -0.130252E-01
   -0.5139  0.899644E-01    -0.930263E-02
   -0.5887  0.717674E-01    -0.627880E-02
   -0.6635  0.546938E-01    -0.391441E-02
   -0.7382  0.389158E-01    -0.216423E-02
   -0.8130  0.246399E-01    -0.975954E-03
   -0.8878  0.121710E-01    -0.287716E-03
   -0.9626  0.214517E-02    -0.200536E-04
   -1.0000   0.00000          0.00000    
